time,RSSI,time,lat,long,GPS MSL,SVs,time,acceleration,time,pressure,Pressure MSL,Pressure AGL,time,comp. bat. voltage,time,state,A cont.,B cont.,C cont.,D cont.,A on., B on,C on,D on,time,eject. bat. voltage,time,GPS Time of Week, valid leap seconds, leap seconds,time,temperature
13.031,-91,146.686,38.396419,-78.063485,807.33704,15,147.791,1.125,221.78,95171,525.346,-637.715,,,,,,,,,,,,,,,,,,,,
13.14,-90,147.478,38.396404,-78.063507,804.98901,15,148.371,1.07812,223.02,95227,520.442,-642.619,,,,,,,,,,,,,,,,,,,,
13.25,-91,148.223,38.396383,-78.063532,801.85303,15,148.991,1.04297,224.36,95288,515.104,-647.956,,,,,,,,,,,,,,,,,,,,
13.358,-90,148.902,38.396367,-78.063545,799.25507,15,149.651,0.960938,225.8,95320,512.306,-650.755,,,,,,,,,,,,,,,,,,,,
13.5,-91,149.565,38.396348,-78.063559,795.43701,15,150.351,0.890625,227.02,95376,507.407,-655.653,,,,,,,,,,,,,,,,,,,,
13.608,-92,150.236,38.396329,-78.063574,791.33002,15,151.261,0.988281,228.38,95437,502.078,-660.983,,,,,,,,,,,,,,,,,,,,
13.718,-92,150.734,38.396318,-78.063582,789.18903,15,151.841,1.14844,229.8,95496,496.923,-666.138,,,,,,,,,,,,,,,,,,,,
13.827,-91,151.493,38.396295,-78.063603,785.29901,15,152.404,1.13281,231.1,95587,488.98,-674.081,,,,,,,,,,,,,,,,,,,,
13.968,-91,151.933,38.396273,-78.063624,782.63202,15,153.114,0.992188,232.52,95675,481.302,-681.759,,,,,,,,,,,,,,,,,,,,
14.077,-91,152.564,38.396242,-78.063649,779.80701,15,153.676,1.02734,233.8,95734,476.16,-686.901,,,,,,,,,,,,,,,,,,,,
14.202,-91,153.455,38.396179,-78.063674,775.38702,15,154.376,1.02344,235.12,95790,471.279,-691.781,,,,,,,,,,,,,,,,,,,,
14.312,-91,154.279,38.396101,-78.06368,770.90802,15,155.286,1.15234,236.52,95854,465.707,-697.354,,,,,,,,,,,,,,,,,,,,
14.421,-91,155.023,38.39604,-78.063676,768.03406,15,155.836,1.07031,237.78,95913,460.57,-702.491,,,,,,,,,,,,,,,,,,,,
14.562,-92,155.651,38.395981,-78.063673,765.57501,15,156.636,1.07031,239.12,95972,455.436,-707.625,,,,,,,,,,,,,,,,,,,,
14.671,-93,156.523,38.395906,-78.063679,762.39703,15,157.076,0.984375,240.52,96031,450.305,-712.756,,,,,,,,,,,,,,,,,,,,
14.781,-92,157.052,38.395853,-78.063693,759.80103,15,157.896,1.11719,241.76,96120,442.571,-720.49,,,,,,,,,,,,,,,,,,,,
14.906,-92,157.835,38.395791,-78.063724,756.33002,15,158.446,1.10547,243.26,96207,435.017,-728.044,,,,,,,,,,,,,,,,,,,,
15.046,-92,158.293,38.395754,-78.063752,753.68201,15,159.296,1.05859,244.44,96248,431.457,-731.603,,,,,,,,,,,,,,,,,,,,
15.156,-92,158.932,38.395724,-78.063782,751.06506,15,159.916,1.01953,245.84,96301,426.86,-736.201,,,,,,,,,,,,,,,,,,,,
15.281,-93,159.484,38.3957,-78.063809,748.45306,15,160.646,1.15234,247.28,96352,422.437,-740.624,,,,,,,,,,,,,,,,,,,,
15.39,-90,160.318,38.395676,-78.063836,745.04401,15,161.208,1.09375,248.52,96394,418.796,-744.265,,,,,,,,,,,,,,,,,,,,
15.531,-90,160.817,38.395664,-78.063844,742.37201,15,162.008,1.00781,249.82,96439,414.895,-748.165,,,,,,,,,,,,,,,,,,,,
15.64,-91,161.579,38.395647,-78.063828,738.47906,15,162.698,1.10938,251.24,96494,410.131,-752.929,,,,,,,,,,,,,,,,,,,,
15.765,-89,162.228,38.395623,-78.063798,735.29205,15,163.418,1.08594,252.38,96543,405.891,-757.17,,,,,,,,,,,,,,,,,,,,
15.875,-92,162.834,38.395584,-78.063762,732.04602,15,163.968,1.12109,253.84,96554,404.937,-758.124,,,,,,,,,,,,,,,,,,,,
15.983,-93,163.439,38.395512,-78.063722,728.15002,15,164.568,1.16406,255.18,96629,398.447,-764.614,,,,,,,,,,,,,,,,,,,,
16.125,-92,164.236,38.395454,-78.063698,725.72803,16,165.358,1.13672,256.46,96685,393.604,-769.457,,,,,,,,,,,,,,,,,,,,
16.25,-92,164.786,38.395385,-78.063666,722.77405,16,166.098,0.894531,257.88,96783,385.135,-777.925,,,,,,,,,,,,,,,,,,,,
16.358,-90,165.51,38.395343,-78.063637,720.17206,15,166.708,1.01562,259.28,96868,377.795,-785.266,,,,,,,,,,,,,,,,,,,,
16.468,-92,166.13,38.395305,-78.063609,717.77802,16,167.418,1.07812,260.62,96945,371.15,-791.911,,,,,,,,,,,,,,,,,,,,
